SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;YIELDATWAP;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
AAL-RM;AmAirlines;American Airlines Group Inc.;Иностранные акции;US02376R1023;;3;0,01;USD;639675800;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;;;;;American Airlines Group Inc.;0000004968;1;1572,82;1572,82;;3145,64;;3145,64;;3145,64;100,0;;;;;;
AAPL-RM;Apple;Apple Inc.;Иностранные акции;US0378331005;;3;1e-05;USD;16788096000;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;21.05.2018;1;0;0;;2021-02-08;;;закрытие реестра;Apple Inc;;1;9118,38;9118,38;7841,81;10394,95;7112,34;11124,42;6291,68;11945,08;14,0;6040;22,0;30200;31,0;;
ABBV-RM;AbbVie;AbbVie Inc.;Иностранные акции;US00287Y1091;;3;0,01;USD;1765881690;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;2021-04-15;;;закрытие реестра;AbbVie Inc.;0000004967;1;7904,66;7904,66;6718,96;9090,36;6007,54;9801,78;5217,08;10592,24;15,0;7757;24,0;38787;34,0;;
ABRD;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акции обыкновенные;RU000A0JS5T7;1-02-12500-A;3;1,0;RUB;98000184;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;02.10.2012;0;0;0;;2020-10-19;;;закрытие реестра;"Публичное акционерное общество ""Абрау – Дюрсо""";7727620673;10;210,451;210,451;;420,902;;420,902;;420,902;100,0;;;;;22,73;56,20
ABT-RM;Abbott;Abbott Laboratories;Иностранные акции;US0028241000;;3;0,0;USD;1771529358;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;01.12.2020;1;0;0;;2021-04-15;;;закрытие реестра;Abbot Laboratories;0000005004;1;8955,42;8955,42;7880,77;10030,07;7253,89;10656,95;6537,46;11373,38;12,0;5768;19,0;28840;27,0;;
ACKO;АСКО ао;АСКО-СТРАХОВАНИЕ ПАО ао;Акции обыкновенные;RU000A0JXS91;1-01-52065-Z;3;1,0;RUB;536000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;11.07.2017;0;0;0;;2020-07-14;;;закрытие реестра;"Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ""";7453297458;100;6,4385;6,4385;;12,877;;12,877;;12,877;100,0;;;;;15,02;22,51
ADBE-RM;Adobe;Adobe Inc.;Иностранные акции;US00724F1012;;3;0,0001;USD;478700000;0;1;FQBR;Т+ Ин.Акции и ДР - безадрес.;;;02.11.2020;1;0;0;;;;;;Adobe Inc.;0000004978;1;34247,38;34247,38;29452,75;39042,01;26712,96;41781,8;23630,69;44864,07;14,0;1352;22,0;6762;31,0;;
AFKS;Система ао;"АФК ""Система"" ПАО ао";Акции обыкновенные;RU000A0DQZE3;1-05-01669-A;1;0,09;RUB;9650000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;12.12.2007;1;0;0;;2020-07-16;0.13;0.0072;закрытие реестра;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ФИНАНСОВАЯ КОРПОРАЦИЯ ""СИСТЕМА""";7703104630;100;35,5335;35,5335;23,0968;47,9702;18,1221;52,9449;7,8174;63,2496;35,0;9215200;49,0;46076000;78,0;4,66;6,04
AFLT;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акции обыкновенные;RU0009062285;1-01-00010-A;1;1,0;RUB;2444535448;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;13.02.2004;1;0;0;;2019-07-05;2.6877;0.0244;закрытие реестра;"Публичное акционерное общество ""Аэрофлот – российские авиалинии""";7712040126;10;69,685;69,685;57,839;81,531;53,657;85,713;45,992;93,378;17,0;5114300;23,0;25571500;34,0;4,82;7,15
AGRO;AGRO-гдр;ГДР ROS AGRO PLC ORD SHS;DR на иностранные акции;US7496552057;;1;0,0;USD;0;0;1;TQBR;Т+: Акции и ДР - безадрес.;;;01.12.2014;0;0;0;;2020-09-18;;;закрытие реестра;Bank of New York Mellon Corporation (Глобальные депозитарные расписки на акции ROS AGRO PLC);0000003817;1;890,2;890,2;445,1;1335,3;258,16;1522,24;44,51;1735,89;50,0;16483;71,0;82415;95,0;50,00;50,00
